,idShow,idCategory
0,0,0
1,0,1
2,1,2
3,2,0
4,2,2
5,2,1
6,3,3
7,4,4
8,4,5
9,4,6
10,5,7
11,5,8
12,6,9
13,6,10
14,7,4
15,7,11
16,7,12
17,8,13
18,8,4
19,8,1
20,9,2
21,9,1
22,9,3
23,10,8
24,11,2
25,11,1
26,11,6
27,12,8
28,12,1
29,13,9
30,13,13
31,13,4
32,14,13
33,15,0
34,16,0
35,16,2
36,16,1
37,17,0
38,17,14
39,18,2
40,18,15
41,18,16
42,19,2
43,19,1
44,19,17
45,20,0
46,20,2
47,20,16
48,21,0
49,21,1
50,21,17
51,22,9
52,22,0
53,22,2
54,23,2
55,23,1
56,24,9
57,24,2
58,24,1
59,25,18
60,26,19
61,27,9
62,27,20
63,28,0
64,28,1
65,29,0
66,29,2
67,29,1
68,30,19
69,31,9
70,31,17
71,31,10
72,32,15
73,32,6
74,33,0
75,33,1
76,34,0
77,34,1
78,34,17
79,35,0
80,35,16
81,36,21
82,36,6
83,37,0
84,37,2
85,37,15
86,38,0
87,38,2
88,39,0
89,39,22
90,39,1
91,40,20
92,41,9
93,41,17
94,42,2
95,42,1
96,42,6
97,43,2
98,43,1
99,44,2
100,44,1
101,45,0
102,45,1
103,45,17
104,46,2
105,46,17
106,46,14
107,47,9
108,47,2
109,47,14
110,48,9
111,48,2
112,48,14
113,49,16
114,49,1
115,49,17
116,50,9
117,50,20
118,50,10
119,51,0
120,51,2
121,51,1
122,52,13
123,52,4
124,52,1
125,53,9
126,53,13
127,53,4
128,54,7
129,54,8
130,55,16
131,55,23
132,56,2
133,56,1
134,56,23
135,57,0
136,57,1
137,57,17
138,58,9
139,58,0
140,58,14
141,59,13
142,59,11
143,60,8
144,60,5
145,61,8
146,62,4
147,62,5
148,63,24
149,63,2
150,63,15
151,64,13
152,64,4
153,64,1
154,65,11
155,66,13
156,66,4
157,66,25
158,67,0
159,67,15
160,67,17
161,68,2
162,69,0
163,69,1
164,69,17
165,70,2
166,70,1
167,70,3
168,71,1
169,71,26
170,72,9
171,72,2
172,72,14
173,73,4
174,74,9
175,74,20
176,74,27
177,75,4
178,75,5
179,76,4
180,76,5
181,77,7
182,77,8
183,78,4
184,79,0
185,79,28
186,79,15
187,80,0
188,80,2
189,80,1
190,81,2
191,81,1
192,81,6
193,82,9
194,82,0
195,82,20
196,83,9
197,83,1
198,83,17
199,84,0
200,84,1
201,84,29
202,85,0
203,85,17
204,85,14
205,86,1
206,86,30
207,87,13
208,87,4
209,88,14
210,88,6
211,89,0
212,89,20
213,90,0
214,90,24
215,90,20
216,91,13
217,91,4
218,91,11
219,92,0
220,92,2
221,93,8
222,94,2
223,94,17
224,94,14
225,95,15
226,95,16
227,95,31
228,96,13
229,96,4
230,96,1
231,97,9
232,97,0
233,97,14
234,98,9
235,98,0
236,98,32
237,99,2
238,99,31
239,99,33
240,100,0
241,100,17
242,100,3
243,101,21
244,101,6
245,102,8
246,103,13
247,103,8
248,104,0
249,104,2
250,104,1
251,105,13
252,105,8
253,106,9
254,106,13
255,106,4
256,107,9
257,107,0
258,107,17
259,108,13
260,108,4
261,109,2
262,110,9
263,110,17
264,111,0
265,111,1
266,112,2
267,112,15
268,112,1
269,113,0
270,113,17
271,113,14
272,114,0
273,114,2
274,114,15
275,115,13
276,115,4
277,115,1
278,116,21
279,116,6
280,117,9
281,117,1
282,117,20
283,118,13
284,118,4
285,118,1
286,119,0
287,119,2
288,119,1
289,120,22
290,120,16
291,121,2
292,121,16
293,121,31
294,122,1
295,122,6
296,122,26
297,123,2
298,123,16
299,123,34
300,124,9
301,124,1
302,124,29
303,125,13
304,125,4
305,125,1
306,126,9
307,126,0
